month,nav_end,ret_monthly,avg_tk,cl2_count,cl3_count,peak,maxdd_monthly
202401,50000.0,0.00045789665996798234,5.0,4,2,50837.05272953966,-0.06447177336802956
202402,58069.168554336495,0.18593998032937287,3.6666666666666665,2,1,59866.72837512958,-0.1347455547726092
202403,61033.90701233072,0.039447103696374164,5.0,2,0,62811.38036849519,-0.04429897947103035
202404,68783.36239644582,0.10053983494767338,4.4,5,2,68911.48537390283,-0.1323155262472796
202405,89606.16912594088,0.3339683397893787,4.05,4,2,89606.16912594088,-0.06084150592294146
202406,92262.98798864268,0.05567650528693924,4.526315789473684,4,1,94229.21125883883,-0.11550707211677036
202407,107297.94238327895,0.115492830696873,3.4347826086956523,5,2,107297.94238327895,-0.1283082874190279
202408,97615.3588772153,-0.08565789561338932,4.545454545454546,5,2,106760.21415715168,-0.1201520363181715
202409,118187.28404174333,0.22004255494722247,5.0,2,1,118187.28404174333,-0.06351278545392691
202410,140297.2561204627,0.20113198062969984,4.444444444444445,1,0,140297.2561204627,-0.04816265562626166
202411,150908.18397057807,0.09266917298486521,5.0,2,0,151532.34857448825,-0.04528953394550051
202412,159162.90720569485,0.05408592556715508,5.0,0,0,161445.3069029804,-0.01413729355822746
202501,159189.59416930313,0.02492655604273253,5.0,6,3,160878.95290417908,-0.031493416313502554
202502,196755.68378577707,0.14475205808568314,4.5,1,0,202728.1007379869,-0.029460232352932714
202503,201231.004116122,0.010860103974875912,4.904761904761905,4,2,203933.784052585,-0.018477270784174715
202504,203147.9653549391,0.004986365227616973,5.0,0,0,205529.53436908041,-0.05201111795106906
202505,218181.9468400678,0.048307928387559596,5.0,0,0,222393.23334652837,-0.02694534167983398
202506,234349.28726465476,0.06514779419957639,5.0,2,1,234349.28726465476,-0.018194955132980417
202507,240002.91149107815,0.030080621934746254,5.0,5,1,244841.45560314888,-0.019761947992635975
202508,239718.13084973305,0.0060955284862824755,5.0,3,1,254460.397619281,-0.05793540726759794
202509,264155.7154190566,0.12336704118755115,3.6363636363636362,4,1,267168.34277564695,-0.06091132616314033
202510,303576.89565810654,0.17909339176571093,3.411764705882353,2,1,303576.89565810654,-0.06563703216713346
202511,329428.7165204336,0.06995269855309094,3.25,3,1,329428.7165204336,-0.052914814899484686
202512,341568.2508336036,0.052149234327014016,4.434782608695652,4,2,341568.2508336036,-0.04340752999893849
202601,352041.8700307434,0.03591428288711529,4.75,4,2,358459.7174507776,-0.03543984311120063
202602,373613.54554678104,0.06743093190493044,4.285714285714286,3,1,378973.9780951419,-0.022905312659465826
202603,374566.27081413707,0.038594741912202135,4.181818181818182,6,3,385132.5088994892,-0.06768794794252575
202604,384617.25844089745,-0.007174582259406037,3.0,0,0,387396.6677003333,-0.007174582259406037
